1680
torch.Size([1, 500, 512]) torch.Size([1, 6, 2])
         450092 function calls (437207 primitive calls) in 4.099 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ast.py:509(NameConstant)
        1    0.000    0.000    0.000    0.000 ast.py:51(literal_eval)
        1    0.000    0.000    0.000    0.000 ast.py:512(Ellipsis)
      9/1    0.000    0.000    0.000    0.000 ast.py:76(_convert)
        1    0.000    0.000    0.058    0.058 asyncio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asyncio.py:16(tqdm_asyncio)
        1    0.000    0.000    0.061    0.061 auto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autocast_mode.py:8(autocast)
        1    0.000    0.000    0.000    0.000 autonotebook.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backbone_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backbone_utils.py:10(BackboneWithFPN)
        1    0.000    0.000    0.003    0.003 backend_registry.py:2(<module>)
        2    0.000    0.000    0.000    0.000 backend_registry.py:33(backend_registered)
        2    0.000    0.000    0.002    0.001 backend_registry.py:46(register_backend)
        2    0.000    0.000    0.000    0.000 backend_registry.py:64(<dictcomp>)
        6    0.000    0.000    0.076    0.013 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:107(NoNewAttributesMixin)
        1    0.000    0.000    0.000    0.000 base.py:1229(ExtensionOpsMixin)
        1    0.000    0.000    0.000    0.000 base.py:1290(ExtensionScalarOpsMixin)
        1    0.000    0.000    0.000    0.000 base.py:141(DataError)
        1    0.000    0.000    0.000    0.000 base.py:145(SpecificationError)
        1    0.000    0.000    0.001    0.001 base.py:149(SelectionMixin)
        1    0.000    0.000    0.005    0.005 base.py:150(Index)
        1    0.000    0.000    0.002    0.002 base.py:18(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 base.py:18(ShallowMixin)
        1    0.000    0.000    0.000    0.000 base.py:34(GotItemMixin)
        1    0.000    0.000    0.002    0.002 base.py:347(IndexOpsMixin)
       17    0.000    0.000    0.000    0.000 base.py:355(register_extension_dtype)
        1    0.000    0.000    0.001    0.001 base.py:381(Registry)
        1    0.000    0.000    0.000    0.000 base.py:397(__init__)
       17    0.000    0.000    0.000    0.000 base.py:400(register)
       18    0.000    0.000    0.001    0.000 base.py:411(find)
        1    0.000    0.000    0.000    0.000 base.py:57(ExtensionArray)
        1    0.000    0.000    0.000    0.000 base.py:60(PandasObject)
        1    0.000    0.000    0.001    0.001 base.py:9(BaseStringArrayMethods)
        1    0.000    0.000    0.002    0.002 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
        1    0.000    0.000    0.041    0.041 base_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:205(_SendfileFallbackProtocol)
        1    0.000    0.000    0.000    0.000 base_events.py:273(Server)
        1    0.000    0.000    0.000    0.000 base_events.py:384(BaseEventLoop)
        1    0.000    0.000    0.001    0.001 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:10(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:255(WriteSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:281(ReadSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        2    0.000    0.000    0.003    0.001 batchnorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 batchnorm.py:12(_NormBase)
        1    0.000    0.000    0.000    0.000 batchnorm.py:139(BatchNorm1d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:212(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:285(BatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:359(SyncBatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:39(BatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:5(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:90(_BatchNorm)
        1    0.000    0.000    0.006    0.006 bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bernoulli.py:10(Bernoulli)
        1    0.000    0.000    0.002    0.002 beta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 beta.py:10(Beta)
        1    0.000    0.000    0.000    0.000 binomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binomial.py:13(Binomial)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.009    0.009 blocks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:1654(ExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2038(ObjectValuesExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2060(NumericBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2066(FloatBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2117(ComplexBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2130(IntBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2148(DatetimeLikeBlockMixin)
        1    0.000    0.000    0.000    0.000 blocks.py:2216(DatetimeBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2301(DatetimeTZBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2422(TimeDeltaBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2467(BoolBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2479(ObjectBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2607(CategoricalBlock)
        1    0.000    0.000    0.002    0.002 blocks.py:89(Block)
        1    0.000    0.000    0.000    0.000 bn_relu.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bn_relu.py:41(BNReLU3d)
        1    0.000    0.000    0.000    0.000 bn_relu.py:8(BNReLU2d)
        1    0.000    0.000    0.023    0.023 boolean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boolean.py:205(BooleanArray)
        1    0.000    0.000    0.000    0.000 boolean.py:32(BooleanDtype)
        1    0.000    0.000    0.002    0.002 boxes.py:1(<module>)
        1    0.000    0.000    0.007    0.007 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:53(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
       26    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 caltech.py:1(<module>)
        1    0.000    0.000    0.000    0.000 caltech.py:10(Caltech101)
        1    0.000    0.000    0.000    0.000 caltech.py:138(Caltech256)
        1    0.000    0.000    0.007    0.007 cast.py:1(<module>)
        3    0.000    0.000    0.048    0.016 categorical.py:1(<module>)
        1    0.000    0.000    0.003    0.003 categorical.py:187(Categorical)
        1    0.000    0.000    0.000    0.000 categorical.py:2329(CategoricalAccessor)
        6    0.000    0.000    0.001    0.000 categorical.py:63(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 categorical.py:8(Categorical)
        1    0.000    0.000    0.007    0.007 category.py:1(<module>)
        1    0.000    0.000    0.002    0.002 category.py:33(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 cauchy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cauchy.py:11(Cauchy)
        1    0.000    0.000    0.000    0.000 celeba.py:1(<module>)
        1    0.000    0.000    0.000    0.000 celeba.py:10(CelebA)
        1    0.000    0.000    0.001    0.001 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:7(DeepChainMap)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.003    0.003 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1996(Chebyshev)
        1    0.000    0.000    0.001    0.001 checkpoint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 checkpoint.py:55(CheckpointFunction)
        1    0.000    0.000    0.001    0.001 chi2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chi2.py:5(Chi2)
        1    0.000    0.000    0.000    0.000 cifar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cifar.py:12(CIFAR10)
        1    0.000    0.000    0.000    0.000 cifar.py:149(CIFAR100)
        1    0.000    0.000    0.002    0.002 cityscapes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cityscapes.py:12(Cityscapes)
        1    0.000    0.000    0.007    0.007 cli.py:1(<module>)
        1    0.000    0.000    0.092    0.092 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1371(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1429(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1434(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1437(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1440(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1445(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1448(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1451(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1465(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1468(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1471(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1474(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1477(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1484(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1489(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:174(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:228(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:771(HTTPConnection)
        1    0.000    0.000    0.000    0.000 clip_grad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coco.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coco.py:8(CocoCaptions)
        1    0.000    0.000    0.000    0.000 coco.py:89(CocoDetection)
       10    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       10    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       30    0.000    0.000    0.001    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.001    0.001 collate.py:1(<module>)
      5/1    0.000    0.000    0.003    0.003 collate.py:42(default_collate)
        1    0.000    0.000    0.003    0.003 collate.py:73(<dictcomp>)
        4    0.000    0.000    0.000    0.000 collate.py:73(<listcomp>)
        1    0.000    0.000    0.003    0.003 comm.py:1(<module>)
        6    0.000    0.000    0.022    0.004 common.py:1(<module>)
       52    0.000    0.000    0.000    0.000 common.py:13(unpack_zerodim_and_defer)
       18    0.000    0.000    0.002    0.000 common.py:1769(pandas_dtype)
       52    0.000    0.000    0.005    0.000 common.py:26(wrapper)
        1    0.000    0.000    0.000    0.000 common.py:32(SettingWithCopyError)
       52    0.001    0.000    0.004    0.000 common.py:32(_unpack_zerodim_and_defer)
        1    0.000    0.000    0.000    0.000 common.py:36(SettingWithCopyWarning)
        1    0.000    0.000    0.000    0.000 common.py:41(IOArgs)
        1    0.000    0.000    0.001    0.001 common.py:46(<setcomp>)
        1    0.000    0.000    0.000    0.000 common.py:59(IOHandles)
        1    0.000    0.000    0.000    0.000 common.py:693(_BytesZipFile)
        1    0.000    0.000    0.000    0.000 common.py:727(_MMapWrapper)
        1    0.000    0.000    0.015    0.015 common_types.py:1(<module>)
        3    0.000    0.000    0.027    0.009 concat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 concat.py:178(JoinUnit)
        1    0.000    0.000    0.000    0.000 concat.py:301(_Concatenator)
        1    0.000    0.000    0.006    0.006 config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:104(_get_option)
        1    0.000    0.000    0.000    0.000 config.py:181(DictWrapper)
        1    0.000    0.000    0.000    0.000 config.py:184(__init__)
        1    0.000    0.000    0.000    0.000 config.py:227(CallableDynamicDoc)
        4    0.000    0.000    0.000    0.000 config.py:228(__init__)
        1    0.000    0.000    0.000    0.000 config.py:232(__call__)
        1    0.000    0.000    0.000    0.000 config.py:382(option_context)
       56    0.002    0.000    0.007    0.000 config.py:414(register_option)
        2    0.000    0.000    0.000    0.000 config.py:489(deprecate_option)
        1    0.000    0.000    0.000    0.000 config.py:537(_select_options)
        1    0.000    0.000    0.000    0.000 config.py:555(_get_root)
        2    0.000    0.000    0.000    0.000 config.py:569(_get_deprecated_option)
        1    0.000    0.000    0.000    0.000 config.py:596(_translate_key)
        1    0.000    0.000    0.000    0.000 config.py:608(_warn_if_deprecated)
       40    0.000    0.000    0.001    0.000 config.py:697(config_prefix)
       60    0.000    0.000    0.000    0.000 config.py:727(wrap)
       56    0.000    0.000    0.007    0.000 config.py:728(inner)
        1    0.000    0.000    0.000    0.000 config.py:75(OptionError)
        4    0.000    0.000    0.000    0.000 config.py:750(is_type_factory)
       22    0.000    0.000    0.000    0.000 config.py:764(inner)
        5    0.000    0.000    0.000    0.000 config.py:771(is_instance_factory)
        7    0.000    0.000    0.000    0.000 config.py:790(inner)
        8    0.000    0.000    0.000    0.000 config.py:797(is_one_of_factory)
        8    0.000    0.000    0.000    0.000 config.py:799(<listcomp>)
        8    0.000    0.000    0.000    0.000 config.py:800(<listcomp>)
        8    0.000    0.000    0.000    0.000 config.py:802(inner)
        3    0.000    0.000    0.000    0.000 config.py:816(is_nonnegative_int)
        1    0.000    0.000    0.000    0.000 config.py:86(_get_single_key)
        1    0.000    0.000    0.008    0.008 config_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config_init.py:323(is_terminal)
        1    0.000    0.000    0.000    0.000 config_init.py:646(register_plotting_backend_cb)
        1    0.000    0.000    0.003    0.003 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 connection.py:348(Connection)
        1    0.000    0.000    0.000    0.000 connection.py:432(Listener)
        1    0.000    0.000    0.000    0.000 connection.py:579(SocketListener)
        1    0.000    0.000    0.000    0.000 connection.py:765(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:787(XmlListener)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
        3    0.000    0.000    0.001    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:24(_SendfileMode)
        1    0.000    0.000    0.003    0.003 constraint_registry.py:1(<module>)
       23    0.000    0.000    0.001    0.000 constraint_registry.py:106(<lambda>)
        1    0.000    0.000    0.000    0.000 constraint_registry.py:79(ConstraintRegistry)
        2    0.000    0.000    0.000    0.000 constraint_registry.py:83(__init__)
       46    0.000    0.000    0.000    0.000 constraint_registry.py:87(register)
        1    0.000    0.000    0.001    0.001 constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constraints.py:101(_Boolean)
        1    0.000    0.000    0.000    0.000 constraints.py:109(_IntegerInterval)
        1    0.000    0.000    0.000    0.000 constraints.py:126(_IntegerLessThan)
        1    0.000    0.000    0.000    0.000 constraints.py:142(_IntegerGreaterThan)
        2    0.000    0.000    0.000    0.000 constraints.py:146(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:158(_Real)
        1    0.000    0.000    0.000    0.000 constraints.py:166(_GreaterThan)
        1    0.000    0.000    0.000    0.000 constraints.py:170(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:182(_GreaterThanEq)
        1    0.000    0.000    0.000    0.000 constraints.py:186(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:198(_LessThan)
        1    0.000    0.000    0.000    0.000 constraints.py:214(_Interval)
        2    0.000    0.000    0.000    0.000 constraints.py:218(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:231(_HalfOpenInterval)
        1    0.000    0.000    0.000    0.000 constraints.py:235(__init__)
        1    0.000    0.000    0.000    0.000 constraints.py:248(_Simplex)
        1    0.000    0.000    0.000    0.000 constraints.py:257(_LowerTriangular)
        1    0.000    0.000    0.000    0.000 constraints.py:266(_LowerCholesky)
        1    0.000    0.000    0.000    0.000 constraints.py:278(_PositiveDefinite)
        1    0.000    0.000    0.000    0.000 constraints.py:292(_RealVector)
        1    0.000    0.000    0.000    0.000 constraints.py:301(_Cat)
        1    0.000    0.000    0.000    0.000 constraints.py:327(_Stack)
        1    0.000    0.000    0.000    0.000 constraints.py:52(Constraint)
        1    0.000    0.000    0.000    0.000 constraints.py:70(_Dependent)
        1    0.000    0.000    0.000    0.000 constraints.py:83(_DependentProperty)
        2    0.000    0.000    0.009    0.005 construction.py:1(<module>)
        1    0.000    0.000    0.007    0.007 container.py:1(<module>)
        1    0.000    0.000    0.001    0.001 container.py:121(ModuleList)
        1    0.000    0.000    0.000    0.000 container.py:17(Container)
        1    0.000    0.000    0.002    0.002 container.py:235(ModuleDict)
        1    0.000    0.000    0.001    0.001 container.py:28(Sequential)
        1    0.000    0.000    0.001    0.001 container.py:375(ParameterList)
        1    0.000    0.000    0.002    0.002 container.py:497(ParameterDict)
        1    0.000    0.000    0.037    0.037 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:14(ProcessError)
        1    0.000    0.000    0.000    0.000 context.py:17(BufferTooShort)
        1    0.000    0.000    0.000    0.000 context.py:20(TimeoutError)
        1    0.000    0.000    0.000    0.000 context.py:203(reducer)
        1    0.000    0.000    0.000    0.000 context.py:220(Process)
        1    0.000    0.000    0.000    0.000 context.py:226(DefaultContext)
        1    0.000    0.000    0.000    0.000 context.py:229(__init__)
        1    0.000    0.000    0.000    0.000 context.py:23(AuthenticationError)
        1    0.000    0.000    0.000    0.000 context.py:272(ForkProcess)
        1    0.000    0.000    0.000    0.000 context.py:279(SpawnProcess)
        1    0.000    0.000    0.000    0.000 context.py:286(ForkServerProcess)
        1    0.000    0.000    0.000    0.000 context.py:293(ForkContext)
        1    0.000    0.000    0.000    0.000 context.py:297(SpawnContext)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 context.py:301(ForkServerContext)
       22    0.000    0.000    0.001    0.000 contextlib.py:108(__enter__)
       22    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
       39    0.000    0.000    0.003    0.000 contextlib.py:211(contextmanager)
       22    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:375(_create_exit_wrapper)
        2    0.000    0.000    0.000    0.000 contextlib.py:379(_create_cb_wrapper)
        2    0.000    0.000    0.000    0.000 contextlib.py:381(_exit_wrapper)
        2    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:415(enter_context)
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
        1    0.000    0.000    0.000    0.000 contextlib.py:458(_push_cm_exit)
        3    0.000    0.000    0.000    0.000 contextlib.py:463(_push_exit_callback)
        2    0.000    0.000    0.000    0.000 contextlib.py:479(__enter__)
        2    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:59(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
       22    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 continuous_bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 continuous_bernoulli.py:11(ContinuousBernoulli)
        1    0.000    0.000    0.000    0.000 conv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conv.py:1109(_ConvTransposeMixin)
        1    0.000    0.000    0.000    0.000 conv.py:115(Conv1d)
        1    0.000    0.000    0.000    0.000 conv.py:167(Conv1d)
        2    0.000    0.000    0.000    0.000 conv.py:17(_ConvNd)
        2    0.000    0.000    0.033    0.017 conv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 conv.py:260(Conv2d)
        1    0.000    0.000    0.000    0.000 conv.py:262(Conv2d)
        1    0.000    0.000    0.000    0.000 conv.py:371(Conv3d)
        1    0.000    0.000    0.000    0.000 conv.py:4(Conv2d)
        1    0.000    0.000    0.000    0.000 conv.py:425(Conv3d)
        1    0.000    0.000    0.000    0.000 conv.py:469(_ConvTransposeNd)
        1    0.000    0.000    0.000    0.000 conv.py:517(ConvTranspose1d)
        1    0.000    0.000    0.000    0.000 conv.py:576(_ConvTransposeNd)
        1    0.000    0.000    0.000    0.000 conv.py:603(ConvTranspose2d)
        1    0.000    0.000    0.001    0.001 conv.py:630(ConvTranspose1d)
        1    0.000    0.000    0.000    0.000 conv.py:766(ConvTranspose2d)
        1    0.000    0.000    0.000    0.000 conv.py:932(ConvTranspose3d)
        1    0.000    0.000    0.000    0.000 conv_fused.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conv_fused.py:11(_ConvBnNd)
        1    0.000    0.000    0.000    0.000 conv_fused.py:193(ConvBn2d)
        1    0.000    0.000    0.000    0.000 conv_fused.py:236(ConvBnReLU2d)
        1    0.000    0.000    0.000    0.000 conv_fused.py:283(ConvReLU2d)
        1    0.000    0.000    0.000    0.000 conv_relu.py:2(<module>)
        1    0.000    0.000    0.000    0.000 conv_relu.py:44(ConvReLU2d)
        1    0.000    0.000    0.000    0.000 conv_relu.py:84(ConvReLU3d)
        1    0.000    0.000    0.000    0.000 conv_relu.py:9(ConvReLU1d)
        1    0.000    0.000    0.000    0.000 convert_parameters.py:1(<module>)
        1    0.000    0.000    0.002    0.002 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        3    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.001    0.001    0.047    0.047 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1120(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
       14    0.000    0.000    0.020    0.001 core.py:116(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1310(_replace_dtype_fields)
       44    0.000    0.000    0.005    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1324(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1357(getmask)
        1    0.000    0.000    0.000    0.000 core.py:149(MAError)
        1    0.000    0.000    0.000    0.000 core.py:157(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:196(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2377(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2383(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2549(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2594(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2702(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2813(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2944(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2970(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3119(view)
        4    0.000    0.000    0.000    0.000 core.py:3401(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3417(shape)
        1    0.000    0.000    0.000    0.000 core.py:6231(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6426(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6430(__has_singleton)
        1    0.000    0.000    0.001    0.001 core.py:6436(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6454(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6529(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6621(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6630(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6736(_frommethod)
       26    0.000    0.000    0.004    0.000 core.py:6747(__init__)
       26    0.000    0.000    0.004    0.000 core.py:6752(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:792(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8083(_convert2ma)
        8    0.000    0.000    0.001    0.000 core.py:8096(__init__)
        8    0.000    0.000    0.001    0.000 core.py:8101(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:817(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:825(__init__)
        1    0.000    0.000    0.000    0.000 core.py:835(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:841(__init__)
        1    0.000    0.000    0.000    0.000 core.py:85(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:856(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:862(__init__)
        1    0.000    0.000    0.000    0.000 core.py:872(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:878(__init__)
        1    0.000    0.000    0.000    0.000 core.py:888(_MaskedUFunc)
       52    0.001    0.000    0.002    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 core.py:898(_MaskedUnaryOperation)
       26    0.000    0.000    0.001    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 core.py:972(_MaskedBinaryOperation)
       18    0.000    0.000    0.001    0.000 core.py:992(__init__)
        1    0.000    0.000    0.004    0.004 coroutines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coroutines.py:18(_is_debug_mode)
        1    0.000    0.000    0.000    0.000 coroutines.py:36(CoroWrapper)
        1    0.000    0.000    0.001    0.001 css.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css.py:10(CSSWarning)
        5    0.000    0.000    0.000    0.000 css.py:16(_side_expander)
        1    0.000    0.000    0.001    0.001 css.py:30(CSSResolver)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
